submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/25/2020,OR,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
07/23/2020,KY,25147,23882,1265,607,61,684,680,4,7,0,07/24/2020 02:18:40 PM,Agree,Agree
02/01/2021,DC,37008,NA,NA,136,0,916,NA,NA,3,0,02/02/2021 02:51:51 PM,NA,NA
01/10/2021,AZ,618546,585091,33455,11201,757,10141,9102,1039,105,4,01/11/2021 03:01:02 PM,Agree,Agree
01/31/2021,DC,36872,NA,NA,210,0,913,NA,NA,4,0,02/01/2021 02:50:29 PM,NA,NA
07/30/2020,ME,3910,3497,413,22,2,123,122,1,2,0,07/31/2020 02:35:06 PM,Agree,Agree
06/15/2020,WI,25480,22932,2548,185,11,700,694,6,2,0,06/16/2020 02:10:11 PM,Agree,Agree
05/03/2020,NH,2518,NA,NA,89,0,86,NA,NA,2,0,05/04/2020 10:49:24 PM,Not agree,Not agree
07/31/2020,ND,6602,6602,0,133,0,103,NA,NA,0,0,08/01/2020 02:38:12 PM,Agree,Not agree
08/11/2020,GU,449,NA,NA,15,0,5,NA,NA,0,0,08/12/2020 01:50:14 PM,Not agree,Not agree
04/30/2020,KY,4708,4708,0,169,0,240,240,0,5,0,05/01/2020 09:00:19 PM,Agree,Agree
04/26/2021,RI,147099,NA,NA,119,0,2666,NA,NA,3,0,04/27/2021 12:00:00 AM,Not agree,N/A
02/02/2020,GU,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,Not agree
08/10/2020,OR,21488,21488,0,216,0,357,357,0,1,0,08/11/2020 02:16:27 PM,Agree,Agree
11/21/2020,SC,207245,193369,13876,1881,268,4363,NA,NA,22,1,11/21/2020 12:00:00 AM,Agree,Not agree
04/07/2021,KY,430860,327377,103483,1019,470,6198,5607,591,10,1,04/08/2021 01:46:50 PM,Agree,Agree
04/24/2020,NC,8052,8052,0,444,0,269,269,0,16,0,02/19/2021 01:38:31 PM,Agree,Agree
04/18/2020,SC,4356,4356,0,163,0,161,NA,NA,11,0,04/18/2020 12:00:00 AM,Agree,Not agree
01/30/2020,MI,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
08/19/2020,NV,63248,NA,NA,394,5,1162,NA,NA,32,0,08/20/2020 03:11:45 PM,NA,NA
09/28/2020,WY,5754,4897,857,121,4,50,50,0,0,0,09/29/2020 01:50:42 PM,Agree,Agree
03/10/2020,VT,1,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,Not agree
08/29/2020,NJ,194756,NA,NA,372,23,15933,14153,1780,3,0,08/29/2020 12:00:00 AM,Not agree,Agree
06/28/2020,OR,8341,8004,337,247,337,202,199,3,0,3,06/29/2020 02:37:31 PM,Agree,Agree
05/01/2020,MO,8988,NA,NA,288,1,337,NA,NA,8,0,05/03/2020 12:00:00 AM,Not agree,Not agree
03/09/2020,WI,1,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
05/15/2020,MS,12527,12434,93,339,2,812,799,13,16,0,05/17/2020 12:00:00 AM,Agree,Agree
02/24/2020,ND,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Not agree
10/05/2020,WI,141655,134359,7296,1727,31,1392,1381,11,4,0,10/06/2020 01:33:58 PM,Agree,Agree
01/22/2021,DC,34905,NA,NA,293,0,867,NA,NA,3,0,01/23/2021 02:50:13 PM,NA,NA
09/24/2020,NJ,206348,NA,NA,641,77,16091,14300,1791,9,0,09/24/2020 12:00:00 AM,Not agree,Agree
01/12/2021,NC,635975,577872,58103,6851,737,7638,7080,558,60,11,01/13/2021 02:44:58 PM,Agree,Agree
03/07/2020,SC,5,5,0,3,0,0,NA,NA,0,0,03/07/2020 12:00:00 AM,Agree,Not agree
02/06/2021,VA,529125,421466,107659,2948,865,6778,5840,938,4,0,02/07/2021 02:46:31 PM,Agree,Agree
02/14/2021,GU,7699,NA,NA,10,0,130,NA,NA,0,0,02/15/2021 02:46:24 PM,Not agree,Not agree
02/10/2021,NC,805898,710653,95245,3833,1345,10181,9107,1074,135,30,02/11/2021 02:50:55 PM,Agree,Agree
10/06/2020,OR,35340,33620,1720,291,0,581,566,15,9,0,10/07/2020 01:45:01 PM,Agree,Agree
08/23/2020,IL,221595,220178,1417,1893,0,8089,7880,209,6,0,08/24/2020 01:54:34 PM,Agree,Agree
02/22/2021,MI,637928,581403,56525,1659,175,16343,15362,981,1,-2,02/23/2021 02:51:13 PM,Agree,Agree
11/06/2020,AZ,254764,248330,6434,1996,134,6109,5714,395,22,15,11/07/2020 02:45:17 PM,Agree,Agree
03/14/2020,NC,23,23,0,8,0,0,0,0,0,0,02/19/2021 01:38:31 PM,Agree,Agree
10/06/2020,LA,170469,NA,NA,532,0,5592,5402,190,6,0,10/07/2020 01:45:01 PM,Not agree,Agree
05/07/2021,WA,412483,NA,NA,1408,218,5564,NA,NA,11,0,05/08/2021 01:45:22 PM,N/A,N/A
01/15/2021,AL,432195,342891,89304,2960,809,8324,6666,1658,73,22,01/16/2021 12:00:00 AM,Agree,Agree
12/05/2020,NV,165628,NA,NA,3194,0,2301,NA,NA,29,0,12/06/2020 02:51:16 PM,NA,NA
05/28/2020,MS,16641,16519,122,445,7,988,973,15,17,2,05/30/2020 12:00:00 AM,Agree,Agree
02/24/2020,MO,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,Not agree
04/01/2020,NH,415,NA,NA,48,NA,4,NA,NA,1,NA,03/31/2020 04:22:39 PM,Not agree,Not agree
06/18/2020,IL,135639,134778,861,593,0,6718,6537,181,52,0,06/19/2020 03:01:11 PM,Agree,Agree
11/28/2020,RI,56223,NA,NA,1082,0,1400,NA,NA,4,0,11/29/2020 02:49:08 PM,Not agree,N/A
04/06/2020,MN,1069,NA,NA,83,NA,34,NA,NA,5,NA,04/05/2020 04:22:39 PM,N/A,Agree
10/03/2020,MD,127290,NA,NA,471,0,3958,3814,144,1,0,10/04/2020 01:35:23 PM,N/A,Agree
10/03/2020,CT,58297,55862,2435,0,0,4513,3614,899,0,0,10/04/2020 01:35:23 PM,Agree,Agree
04/08/2020,AZ,2726,NA,NA,151,NA,80,NA,NA,7,NA,04/07/2020 04:22:39 PM,Agree,Agree
02/17/2020,KY,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
07/26/2020,WY,2475,2029,446,29,8,25,25,0,0,0,07/27/2020 02:16:42 PM,Agree,Agree
01/05/2021,SC,346814,310211,36603,5469,1212,5932,NA,NA,53,9,01/05/2021 12:00:00 AM,Agree,Not agree
04/02/2020,WI,1730,NA,NA,180,NA,31,NA,NA,7,NA,04/01/2020 04:22:39 PM,Agree,Agree
04/07/2020,MO,4058,NA,NA,218,0,53,NA,NA,14,NA,04/09/2020 12:00:00 AM,Not agree,Not agree
04/16/2021,CT,329062,302775,26287,1062,208,7995,6578,1417,5,1,04/17/2021 01:58:33 PM,Agree,Agree
04/13/2020,SC,3542,3542,0,123,0,122,NA,NA,7,0,04/13/2020 12:00:00 AM,Agree,Not agree
02/04/2021,AL,476503,374300,102203,1590,452,9689,7645,2044,50,16,02/05/2021 12:00:00 AM,Agree,Agree
09/24/2020,GU,2286,NA,NA,23,0,39,NA,NA,1,0,09/25/2020 01:54:10 PM,Not agree,Not agree
04/15/2020,IN,8955,NA,NA,428,NA,436,NA,NA,49,NA,04/15/2020 04:22:39 PM,Not agree,Agree
08/16/2020,MD,100715,NA,NA,503,0,3641,3504,137,2,0,08/17/2020 02:26:31 PM,N/A,Agree
10/08/2020,IN,129677,NA,NA,1450,0,3742,3515,227,15,0,10/09/2020 01:43:36 PM,Not agree,Agree
03/20/2020,RI,79,NA,NA,14,NA,1,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,N/A
06/01/2020,NJ,161293,NA,NA,486,13,11721,11721,0,23,0,06/01/2020 12:00:00 AM,Not agree,Agree
02/06/2020,VT,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,Not agree
04/30/2020,NV,5007,NA,NA,109,9,252,NA,NA,15,9,05/01/2020 09:00:19 PM,NA,NA
08/31/2020,NV,69484,NA,NA,320,0,1334,NA,NA,3,0,09/01/2020 02:09:34 PM,NA,NA
04/04/2021,MT,105142,97760,7382,105,8,1466,1466,0,1,0,04/05/2021 01:43:02 PM,Agree,Agree
07/20/2020,NV,36925,NA,NA,948,0,674,NA,NA,1,0,07/21/2020 02:50:17 PM,NA,NA
06/26/2020,NH,5638,NA,NA,0,0,357,NA,NA,0,0,06/27/2020 05:51:58 PM,Not agree,Not agree
05/01/2021,WI,661209,598822,62387,759,84,7569,6841,728,19,1,05/02/2021 02:13:07 PM,Agree,Agree
05/06/2021,MS,313493,191865,121628,133,58,7238,4988,2250,2,1,05/08/2021 12:00:00 AM,Agree,Agree
12/28/2020,KY,258517,208615,49902,1454,417,2563,2398,165,8,1,12/29/2020 02:56:32 PM,Agree,Agree
04/06/2020,IN,4944,NA,NA,533,NA,139,NA,NA,12,NA,04/05/2020 04:22:39 PM,Not agree,Agree
09/26/2020,NJ,207790,NA,NA,816,66,16103,14312,1791,6,0,09/26/2020 12:00:00 AM,Not agree,Agree
06/30/2020,MD,67918,NA,NA,359,0,3205,3077,128,15,0,07/01/2020 03:45:16 PM,N/A,Agree
11/17/2020,NE,103805,NA,NA,2204,0,816,NA,NA,19,0,11/18/2020 02:57:46 PM,Not agree,Not agree
10/31/2020,AZ,245946,240130,5816,1901,127,5979,5664,315,45,22,11/01/2020 03:03:08 PM,Agree,Agree
07/08/2020,VT,1256,NA,NA,2,0,56,NA,NA,0,0,07/09/2020 03:14:15 PM,Not agree,Not agree
08/05/2020,NH,6719,NA,NA,26,0,418,NA,NA,0,0,08/06/2020 02:12:27 PM,Not agree,Not agree
02/24/2020,CT,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
03/17/2020,RI,38,NA,NA,14,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,N/A
06/02/2020,NE,14611,NA,NA,266,0,181,NA,NA,3,0,06/03/2020 02:11:36 PM,Not agree,Not agree
01/25/2021,NH,62768,NA,NA,431,123,990,NA,NA,3,1,01/26/2021 02:46:01 PM,Not agree,Not agree
03/19/2020,AL,1005,943,62,119,10,4,2,2,1,1,03/20/2020 12:00:00 AM,Agree,Agree
12/03/2020,ID,106455,89739,16716,1721,407,1014,927,87,23,1,12/04/2020 03:00:59 PM,Agree,Agree
02/04/2021,IN,633690,NA,NA,2359,0,11637,11231,406,39,28,02/05/2021 02:54:41 PM,Not agree,Agree
05/15/2021,IN,734736,NA,NA,1145,0,13471,13054,417,5,0,05/16/2021 01:46:12 PM,Not agree,Agree
05/05/2020,DC,5322,NA,NA,152,0,264,NA,NA,6,0,05/06/2020 04:23:08 PM,NA,NA
05/14/2020,MT,466,466,0,4,0,16,16,0,0,0,05/15/2020 04:11:22 PM,Agree,Agree
07/19/2020,LA,91706,NA,NA,3116,0,3543,3433,110,34,0,07/20/2020 02:35:44 PM,Not agree,Agree
02/07/2021,NE,193722,NA,NA,301,0,1968,NA,NA,0,0,02/08/2021 02:53:12 PM,Not agree,Not agree
05/23/2020,AZ,16039,16039,0,431,0,799,799,0,24,0,05/24/2020 02:15:55 PM,Agree,Agree
05/18/2020,MS,13296,13201,95,372,1,850,837,13,14,0,05/20/2020 12:00:00 AM,Agree,Agree
05/09/2020,VT,921,NA,NA,3,0,53,NA,NA,0,0,05/10/2020 09:26:08 PM,Not agree,Not agree
06/10/2020,WA,24642,NA,NA,288,0,1190,NA,NA,14,0,06/11/2020 02:48:51 PM,N/A,N/A
04/06/2020,OR,1132,NA,NA,64,NA,29,NA,NA,2,NA,04/05/2020 04:22:39 PM,Agree,Agree
01/05/2021,NC,575396,525813,49583,5285,898,6996,6552,444,55,12,01/06/2021 02:58:26 PM,Agree,Agree
08/21/2020,MS,80429,76463,3966,755,131,2697,2544,153,27,3,08/23/2020 12:00:00 AM,Agree,Agree
05/18/2020,OR,3687,3604,83,64,2,138,138,0,1,0,05/19/2020 03:45:23 PM,Agree,Agree
04/21/2021,WY,57518,48631,8887,62,15,705,705,0,0,0,04/22/2021 01:56:30 PM,Agree,Agree
01/03/2021,RI,92877,NA,NA,649,0,1976,NA,NA,17,0,01/04/2021 02:55:45 PM,Not agree,N/A
04/20/2021,MO,578739,NA,NA,704,293,8689,NA,NA,5,0,04/21/2021 02:12:05 PM,Not agree,Not agree
03/06/2020,ND,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Not agree
03/08/2021,FSM,1,1,0,0,0,0,0,0,0,0,03/09/2021 02:47:41 PM,Agree,Agree
12/30/2020,MS,219131,149842,69289,3226,1920,5583,4202,1381,71,44,01/01/2021 12:00:00 AM,Agree,Agree
03/18/2021,NJ,853349,754817,98532,4473,738,24076,21561,2515,31,0,03/19/2021 02:25:43 PM,Agree,Agree
03/24/2020,NJ,3675,NA,NA,831,NA,44,NA,NA,17,NA,03/26/2020 04:22:39 PM,Agree,Agree
08/01/2020,LA,116280,NA,NA,0,0,3949,3835,114,0,0,08/02/2020 02:54:37 PM,Not agree,Agree
04/01/2020,CT,3557,NA,NA,429,NA,85,NA,NA,16,NA,03/31/2020 04:22:39 PM,Agree,Agree
12/13/2020,CA,1551766,NA,NA,30334,0,20969,NA,NA,122,0,12/14/2020 02:36:45 PM,Not agree,Not agree
07/14/2020,VI,206,NA,NA,0,0,6,NA,NA,0,0,07/15/2020 03:05:12 PM,NA,NA
05/27/2020,VI,69,NA,NA,0,0,6,NA,NA,0,0,05/28/2020 03:12:25 PM,NA,NA
05/09/2021,LA,462501,NA,NA,364,121,10433,9491,942,0,0,05/10/2021 02:15:36 PM,Not agree,Agree
03/09/2020,ID,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
01/27/2021,AZ,738561,692499,46062,5918,1175,12643,11292,1351,195,20,01/28/2021 02:49:07 PM,Agree,Agree
03/02/2021,IL,1189416,1189416,0,1577,0,22803,20583,2220,44,-3,03/03/2021 03:20:17 PM,Agree,Agree
05/03/2021,SC,581365,483878,97487,428,127,9579,NA,NA,10,0,05/03/2021 12:00:00 AM,Agree,Not agree
10/04/2020,MS,103542,93713,9829,400,158,3294,2993,301,10,3,10/06/2020 12:00:00 AM,Agree,Agree
04/26/2021,WA,397417,NA,NA,982,263,5450,NA,NA,16,0,04/27/2021 01:56:18 PM,N/A,N/A
01/10/2021,GU,7399,NA,NA,0,0,124,NA,NA,0,0,01/11/2021 03:01:02 PM,Not agree,Not agree
04/21/2020,LA,24854,NA,NA,331,0,1405,1405,0,77,0,04/21/2020 04:22:39 PM,Not agree,Agree
04/24/2020,KY,3779,3779,0,298,0,200,200,0,9,0,05/25/2020 03:38:40 PM,Agree,Agree
05/08/2021,MS,313706,191995,121711,77,21,7238,4988,2250,0,0,05/10/2021 12:00:00 AM,Agree,Agree
02/12/2020,SC,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Not agree
06/11/2020,CT,44461,42557,1904,114,5,4146,3308,838,26,1,06/12/2020 02:17:59 PM,Agree,Agree
10/08/2020,MT,16677,16677,0,614,0,197,197,0,4,0,10/09/2020 01:43:36 PM,Agree,Agree
05/07/2021,WY,58623,49477,9146,96,15,710,710,0,0,0,05/08/2021 01:45:22 PM,Agree,Agree
